food,calorie,protein,carbs,fat,Sugar,Fiber,Sodium,Vitamins,Minerals
Chicken Breast,165,31.0,0.0,3.6,0.5,0.0,0.075,0.002,0.001
Salmon,206,22.0,0.0,13.0,0.0,0.0,0.05,0.01,0.002
Brown Rice,215,5.0,1.6,45.0,0.0,3.0,0.0,0.001,0.003
Broccoli,55,3.7,0.6,11.0,1.0,2.0,0.03,0.003,0.002
Almonds,7,0.3,0.6,0.6,0.2,1.0,0.0,0.0,0.001
Whole Wheat Bread,69,3.0,1.0,12.0,1.0,2.0,0.12,0.005,0.002
Greek Yogurt,59,10.0,0.4,3.0,6.0,0.0,0.03,0.002,0.001
Spinach,23,2.9,0.4,3.0,0.4,2.0,0.02,0.004,0.002
Apple,95,0.5,0.3,25.0,19.0,3.0,0.0,0.001,0.001
Olive Oil,119,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0
Quinoa,120,4.0,2.0,21.0,0.0,2.0,0.0,0.0,0.001
Banana,105,1.3,0.3,27.0,14.0,3.0,0.001,0.001,0.001
Eggs,68,5.5,4.8,0.6,0.6,0.0,0.07,0.008,0.001
Avocado,160,2.0,15.0,9.0,0.7,4.0,0.014,0.002,0.001
Cottage Cheese,206,28.0,9.0,6.0,3.0,0.0,0.3,0.012,0.002
Sweet Potato,112,2.0,0.2,26.0,6.0,4.0,0.05,0.01,0.001
Turkey Breast,135,30.0,0.0,1.0,0.0,0.0,0.05,0.0,0.002
Tofu,144,15.0,3.9,8.2,0.1,1.5,0.006,0.01,0.001
Quinoa Salad,180,4.0,29.0,6.0,2.0,4.2,0.01,0.002,0.002
Blueberries,57,0.7,14.5,0.3,9.7,2.4,0.001,0.009,0.001
Salad Greens,5,0.5,1.0,0.0,0.1,0.5,0.005,0.07,0.001
Peanut Butter,188,8.0,6.0,16.0,3.0,2.0,0.147,0.0,0.002
Mango,60,0.8,15.0,0.4,14.6,1.6,0.001,0.011,0.001
Chickpeas,164,8.9,27.0,2.6,4.8,7.6,0.013,0.002,0.002
Yogurt Parfait,210,12.0,36.0,3.5,24.0,2.0,0.08,0.015,0.001
Cauliflower Rice,25,2.0,5.0,0.2,1.9,2.7,0.03,0.0,0.002
Lentils,230,18.0,40.0,1.0,2.0,16.0,0.002,0.009,0.002
Salmon Salad,280,25.0,8.0,18.0,2.0,3.0,0.03,0.015,0.002
Oatmeal,150,5.0,27.0,2.0,1.0,4.0,0.0,0.015,0.002
Cucumber,16,0.7,3.6,0.2,1.9,0.5,0.002,0.002,0.001
Pineapple,50,0.5,13.0,0.1,9.9,1.4,0.001,0.047,0.001
Cottage Cheese Wrap,300,25.0,30.0,10.0,3.0,1.5,0.42,0.02,0.002
Kale,33,2.9,6.7,0.5,1.3,1.3,0.029,0.068,0.002
Ground Turkey,220,26.0,0.0,12.0,0.0,0.0,0.08,0.0,0.002
Quinoa Bowl,320,14.0,54.0,6.0,2.0,8.0,0.015,0.006,0.002
Carrot Sticks,41,0.9,10.0,0.2,4.7,2.8,0.069,0.005,0.001
Shrimp Stir Fry,200,25.0,12.0,8.0,2.0,3.0,0.45,0.015,0.002
Pumpkin Seeds,180,9.0,7.0,14.0,0.3,1.1,0.007,0.002,0.001
Mushroom Risotto,320,8.0,56.0,8.0,1.0,3.0,0.6,0.01,0.002
Grapes,69,0.6,18.0,0.2,15.0,0.9,0.002,0.003,0.001
Tuna Salad Wrap,250,20.0,15.0,12.0,1.0,2.0,0.4,0.01,0.002
Chia Pudding,150,4.0,12.0,9.0,8.0,10.0,0.05,0.0,0.002
Green Beans,31,1.8,7.0,0.1,1.0,3.4,0.006,0.016,0.002
Cottage Cheese Pancakes,280,25.0,20.0,10.0,3.0,1.0,0.35,0.015,0.002
Barley Salad,220,5.0,45.0,2.0,0.5,8.0,0.015,0.003,0.002
Kiwi,61,1.1,15.0,0.5,9.0,2.1,0.002,0.092,0.001
Turkey Burger,250,28.0,5.0,13.0,1.0,1.5,0.35,0.008,0.002
Quiche,320,14.0,18.0,22.0,1.0,1.0,0.4,0.02,0.002
Black Beans,120,7.0,22.0,1.0,0.0,7.5,0.001,0.0,0.002
Orange,62,1.2,16.0,0.2,12.0,3.1,0.0,0.089,0.001
Grilled Chicken Salad,180,25.0,8.0,6.0,3.0,2.0,0.3,0.015,0.002
Hummus,70,2.0,8.0,4.0,0.0,2.6,0.18,0.001,0.001
Cabbage Slaw,45,1.2,11.0,0.1,4.5,2.9,0.02,0.032,0.002
Milk,103,8.0,12.0,2.4,12.0,0.0,0.102,0.022,0.002
Spaghetti Squash,31,1.0,7.0,0.6,1.0,2.2,0.017,0.002,0.001
Papaya,43,0.5,11.0,0.4,8.3,1.7,0.008,0.02,0.001
Tofu Stir-Fry,180,16.0,12.0,8.0,2.0,3.0,0.5,0.015,0.002
Walnuts,185,4.3,3.9,18.0,0.7,1.9,0.0,0.0,0.002
Pasta Primavera,250,8.0,50.0,2.0,2.0,8.0,0.01,0.006,0.001
Dragon Fruit,60,1.0,13.0,1.0,9.0,3.0,0.002,0.009,0.001
Salmon Sushi Roll,300,15.0,40.0,10.0,4.0,2.0,0.6,0.01,0.002
Quinoa Salad Bowl,280,9.0,40.0,8.0,1.0,6.0,0.015,0.002,0.002
Asparagus,20,2.2,3.7,0.2,1.8,2.0,0.0,0.016,0.002
Almond Milk,13,1.0,0.5,1.0,0.0,1.0,0.05,0.025,0.002
Couscous Salad,180,5.0,35.0,1.5,1.0,3.0,0.01,0.002,0.001
Mango Smoothie,120,2.0,30.0,0.6,23.0,3.0,0.005,0.021,0.001
Pecans,196,2.6,3.9,20.0,1.1,2.7,0.0,0.0,0.002
Eggplant Parmesan,220,12.0,14.0,14.0,6.0,6.0,0.45,0.012,0.002
Grapefruit,52,0.6,13.0,0.2,8.0,1.6,0.0,0.023,0.001
Chicken Caesar Salad,350,30.0,10.0,20.0,2.0,3.0,0.7,0.02,0.002
Buckwheat Pancakes,210,6.0,42.0,2.0,7.0,4.0,0.3,0.002,0.001
Zucchini,17,1.2,3.1,0.2,1.2,1.0,0.008,0.021,0.001
Coconut Milk,230,2.0,5.0,24.0,0.0,1.0,0.02,0.0,0.002
Chickpea Curry,250,12.0,45.0,5.0,6.0,12.0,0.7,0.01,0.002
Paprika,19,0.9,3.7,0.9,1.4,2.7,0.004,0.025,0.002
Eggplant Stir-Fry,120,2.0,26.0,1.0,6.0,8.0,0.2,0.01,0.002
Hazelnuts,176,4.2,5.1,17.7,1.5,2.7,0.0,0.0,0.002
Cauliflower Pizza,280,12.0,40.0,9.0,2.0,7.0,0.6,0.008,0.002
Berries Mix,70,1.0,17.0,0.5,8.0,6.5,0.0,0.016,0.001
Turkey Wrap,220,20.0,15.0,8.0,3.0,2.0,0.45,0.015,0.002
Buckwheat Salad,200,5.0,40.0,2.0,3.0,8.0,0.15,0.006,0.001
Snap Peas,41,2.5,8.0,0.2,3.4,2.6,0.005,0.038,0.002
Coconut Water,46,0.9,8.9,0.5,6.0,2.6,0.252,0.007,0.002
Lentil Soup,150,9.0,28.0,1.0,1.0,7.0,0.6,0.01,0.002
Pomegranate,83,1.7,18.7,1.0,9.2,4.0,0.003,0.01,0.001
Cabbage Roll,150,10.0,20.0,3.0,5.0,6.0,0.3,0.015,0.002
Pistachios,160,6.0,8.0,13.0,2.0,3.0,0.0,0.0,0.002
Vegetable Curry,220,6.0,40.0,5.0,8.0,9.0,0.45,0.02,0.002
Clementine,35,0.6,8.3,0.2,7.9,1.3,0.001,0.048,0.001
Grilled Shrimp Salad,180,22.0,10.0,7.0,2.0,3.0,0.25,0.015,0.002
Wild Rice Bowl,280,7.0,56.0,2.0,0.0,6.0,0.01,0.0,0.002
Brussels Sprouts,38,3.0,8.0,0.3,1.9,3.3,0.016,0.042,0.002
Coconut Yogurt,120,2.0,15.0,5.0,9.0,0.0,0.015,0.01,0.001
Chickpea Salad Wrap,220,9.0,40.0,4.0,5.0,10.0,0.3,0.015,0.002
Blueberry Smoothie,120,2.0,30.0,0.5,20.0,3.0,0.005,0.021,0.001
Stir-Fried Tofu,180,16.0,10.0,12.0,2.0,4.0,0.3,0.008,0.002
Macadamia Nuts,200,2.2,4.0,21.0,1.5,2.4,0.0,0.0,0.002
Egg Fried Rice,250,8.0,45.0,5.0,1.0,3.0,0.6,0.01,0.002
Passion Fruit,68,2.2,17.0,0.5,16.0,5.4,0.01,0.05,0.001
Grilled Turkey Breast,170,30.0,1.0,4.0,0.0,0.0,0.1,0.01,0.002
Millet Salad,210,7.0,40.0,3.0,2.0,5.0,0.2,0.008,0.001
Artichoke,47,3.3,10.0,0.2,1.0,5.4,0.094,0.015,0.002
