Food,Calories,Protein(g),Carbs(g),Fat(g),Category,Type_of_Diet,Disease_Help
Apple,52.0,0.3,14.0,0.2,Fruit,Low Fat,Digestive Health
Chicken Breast (grilled),165.0,31.0,0.0,3.6,Meat,Keto,Energy Boost
Broccoli,55.0,3.7,11.2,0.6,Vegetable,Vegan,Muscle Gain
Whole Wheat Bread,110.0,4.0,20.0,1.0,Grain,High Protein,Heart Health
Salmon (baked),206.0,22.0,0.0,13.0,Seafood,Low Fat,Bone Health
Almonds,579.0,21.0,22.0,50.0,Nut,Pescatarian,Brain Health
Spinach,23.0,2.9,3.6,0.4,Vegetable,Vegan,Digestive Health
Egg (boiled),77.0,6.3,0.6,5.3,Egg,Low Fat,Bone Health
Brown Rice,111.0,2.6,23.0,0.9,Grain,High Protein,Weight Management
Yogurt (low-fat),59.0,10.0,3.6,0.4,Dairy,High Protein,Skin Health
Samosa,262.0,3.5,31.0,15.0,Snack,Vegetarian,Digestive Health
Paneer Tikka,321.0,25.0,3.4,25.0,Dairy,High Protein,Bone Health
Dal Makhani,182.0,9.0,22.0,6.0,Legume,Vegan,Weight Management
Butter Chicken,490.0,30.0,10.0,38.0,Meat,Keto,Energy Boost
Idli,39.0,2.0,8.0,0.1,Grain,Low Fat,Digestive Health
Masala Dosa,206.0,5.0,30.0,6.0,Grain,Vegetarian,Energy Boost
Chole Bhature,280.0,15.0,45.0,5.0,Legume,Vegan,Heart Health
Rajma Chawal,127.0,9.0,22.0,0.8,Legume,Vegan,Weight Management
Biryani (Chicken),292.0,16.0,29.0,12.0,Grain,High Protein,Immune Support
Roti (Whole Wheat),71.0,3.0,15.0,0.4,Grain,Vegan,Heart Health
Aloo Paratha,220.0,5.0,35.0,7.0,Grain,Vegetarian,Weight Management
Pani Puri,208.0,4.0,32.0,8.0,Snack,Vegetarian,Digestive Health
Chana Masala,210.0,11.0,35.0,6.0,Legume,Vegan,Heart Health
Upma,180.0,5.0,30.0,5.0,Grain,Vegetarian,Energy Boost
Dhokla,150.0,5.0,28.0,4.0,Snack,Vegetarian,Digestive Health
Pav Bhaji,400.0,8.0,45.0,20.0,Snack,Vegetarian,Energy Boost
Rajma,220.0,10.0,35.0,6.0,Legume,Vegan,Weight Management
Bhel Puri,190.0,4.0,33.0,5.0,Snack,Vegetarian,Digestive Health
Matar Paneer,240.0,10.0,15.0,15.0,Vegetable/Dairy,High Protein,Bone Health
Malai Kofta,250.0,8.0,12.0,20.0,Dairy,High Fat,Energy Boost
Gajar Halwa,300.0,6.0,40.0,10.0,Dessert,Vegetarian,Skin Health
Khichdi,200.0,6.0,35.0,4.0,Grain/Legume,Vegan,Digestive Health
Rasam,60.0,2.0,10.0,Soup,Vegan,Immune Support
Pesarattu (Green Gram Dosa),150.0,7.0,24.0,4.0,Grain,Vegan,Muscle Gain
Vada Pav,300.0,7.0,40.0,12.0,Snack,Vegetarian,Energy Boost
Thepla,200.0,5.0,30.0,7.0,Grain,Vegetarian,Digestive Health
Baingan Bharta,120.0,3.0,10.0,8.0,Vegetable,Vegan,Weight Management
Plain Dosa,133.0,3.0,22.0,3.0,Grain,Vegan,Digestive Health
Shrikhand,280.0,7.0,20.0,20.0,Dessert,Vegetarian,Energy Boost
Coconut Chutney,90.0,1.0,6.0,7.0,Condiment,Vegan,Heart Health
Kheer,150.0,5.0,20.0,6.0,Dessert,Vegetarian,Skin Health
Aloo Gobi,140.0,4.0,15.0,8.0,Vegetable,Vegan,Weight Management
Tandoori Roti,100.0,3.5,18.0,2.0,Grain,Low Fat,Heart Health
