food,calorie,protein,carbs,fat,Goals,Preferences,Restrictions
Chicken Breast,165,31.0,0.0,3.6,Weight loss,Protein-Rich Foods,Lactose intolerant
Salmon,206,22.0,0.0,13.0,Muscle gain,Protein-Rich Foods,No Restriction
Brown Rice,215,5.0,45.0,1.6,General health,Whole Grains,Gluten-free
Broccoli,55,3.7,11.0,0.6,Weight loss,Vegetables,Lactose intolerant
Almonds,7,0.3,0.6,0.6,Weight loss,Protein-Rich Foods,No Restriction
Whole Wheat Bread,69,3.0,12.0,1.0,Muscle gain,Whole Grains,No Restriction
Greek Yogurt,59,10.0,3.0,0.4,General health,Dairy,No Restriction
Spinach,23,2.9,3.0,0.4,General health,Vegetables,No Restriction
Apple,95,0.5,25.0,0.3,Weight loss,Fruits,Gluten-free
Olive Oil,119,0.0,0.0,13.5,General health,,No Restriction
Quinoa,120,4.0,21.0,2.0,Muscle gain,Whole Grains,Gluten-free
Banana,105,1.3,27.0,0.3,General health,Fruits,No Restriction
Eggs,68,5.5,0.6,4.8,General health,Protein-Rich Foods,No Restriction
Avocado,160,2.0,9.0,15.0,Weight loss,Fruits,No Restriction
Cottage Cheese,206,28.0,6.0,9.0,Muscle gain,Dairy,Lactose intolerant
Sweet Potato,112,2.0,26.0,0.2,General health,Whole Grains,No Restriction
Turkey Breast,135,30.0,0.0,1.0,Weight loss,Protein-Rich Foods,No Restriction
Tofu,144,15.0,3.9,8.2,General health,Vegetarian,No Restriction
Quinoa Salad,180,4.0,29.0,6.0,Muscle gain,Whole Grains,Gluten-free
Blueberries,57,0.7,14.5,0.3,General health,Fruits,No Restriction
Salad Greens,5,0.5,1.0,0.0,Weight loss,Vegetables,No Restriction
Peanut Butter,188,8.0,6.0,16.0,Muscle gain,Protein-Rich Foods,No Restriction
Mango,60,0.8,15.0,0.4,General health,Fruits,No Restriction
Chickpeas,164,8.9,27.0,2.6,Muscle gain,Protein-Rich Foods,Vegetarian
Yogurt Parfait,210,12.0,36.0,3.5,Muscle gain,Dairy,No Restriction
Cauliflower Rice,25,2.0,5.0,0.2,Weight loss,Vegetables,No Restriction
Lentils,230,18.0,40.0,1.0,Muscle gain,Vegetarian,No Restriction
Salmon Salad,280,25.0,8.0,18.0,Weight loss,Protein-Rich Foods,No Restriction
Oatmeal,150,5.0,27.0,2.0,Muscle gain,Whole Grains,No Restriction
Cucumber,16,0.7,3.6,0.2,Weight loss,Vegetables,No Restriction
Pineapple,50,0.5,13.0,0.1,General health,Fruits,No Restriction
Cottage Cheese Wrap,300,25.0,30.0,10.0,Muscle gain,Dairy,No Restriction
Kale,33,2.9,6.7,0.5,Weight loss,Vegetables,No Restriction
Ground Turkey,220,26.0,0.0,12.0,Weight loss,Protein-Rich Foods,No Restriction
Quinoa Bowl,320,14.0,54.0,6.0,Muscle gain,Whole Grains,Gluten-free
Carrot Sticks,41,0.9,10.0,0.2,General health,Vegetables,No Restriction
Shrimp Stir Fry,200,25.0,12.0,8.0,Weight loss,Protein-Rich Foods,No Restriction
Pumpkin Seeds,180,9.0,7.0,14.0,Muscle gain,Protein-Rich Foods,No Restriction
Mushroom Risotto,320,8.0,56.0,8.0,General health,Vegetarian,No Restriction
Grapes,69,0.6,18.0,0.2,General health,Fruits,No Restriction
Tuna Salad Wrap,250,20.0,15.0,12.0,Weight loss,Protein-Rich Foods,No Restriction
Chia Pudding,150,4.0,12.0,9.0,Weight loss,Whole Grains,Vegetarian
Green Beans,31,1.8,7.0,0.1,Weight loss,Vegetables,No Restriction
